id,mass,x,y,z,vx,vy,vz
217,1.01137e+18,1.19748,-1.38067,0.0817079,0.0108292,0.00805129,0.000608217
218,9.81889e+17,-1.5805,-1.95125,0.161472,0.00729263,-0.0076506,-2.60819e-05
219,5.98466e+18,1.4869,2.54609,-0.338266,-0.00824779,0.00490667,3.61149e-05
220,1.64198e+18,2.07135,0.000107077,0.00303659,0.000236171,0.0128674,-0.000528006
221,3.4368e+18,1.03186,2.78782,0.235356,-0.008693,0.00465837,0.000441495
222,7.32975e+18,1.26049,2.64151,-0.290723,-0.00935541,0.0044962,-0.000574352
223,3.32031e+18,-3.28962,-1.79693,-0.20352,0.00349999,-0.00708305,9.23831e-05
224,4.29401e+17,1.89787,-0.0450002,-0.0069317,-0.000321253,0.0140109,-0.000688041
225,3.74201e+18,2.44968,-0.473855,0.0576711,0.00222157,0.0100719,-0.00179612
226,6.64825e+17,2.58468,-0.15174,-0.12728,-0.00146833,0.0105243,-0.000685877
227,2.9663e+18,-1.21704,3.02854,0.244327,-0.00797866,-0.00275454,-0.00160751
228,1.29067e+18,0.592639,2.94823,-0.384011,-0.00844165,0.00337983,-0.000734552
229,3.97566e+18,-0.786091,2.7875,-0.77813,-0.0100903,-0.00198281,-0.000367856
230,8.73242e+17,1.21434,-2.37963,0.166655,0.00946279,0.00426657,-0.000633123
231,3.25289e+18,1.90584,-1.61681,0.195063,0.00639885,0.00896584,-0.00151266
232,2.24856e+17,2.38523,-0.870035,0.0858721,0.00193132,0.0101185,-0.000599953
233,1.76787e+18,-2.12251,-2.13425,-0.945857,0.0077421,-0.00527972,-0.000409132
234,8.83216e+17,-3.35951,-1.25365,0.136595,0.00242086,-0.00806048,0.000102204
235,2.21736e+18,-0.36306,2.70625,0.236097,-0.00965816,-0.00128269,-0.000494119
236,5.51743e+17,2.65382,-1.28538,0.0289892,0.00364668,0.00864318,0.00018818
237,9.65053e+18,1.73121,-2.57539,0.100654,0.00871594,0.00512482,-0.000529957
238,2.67679e+17,-0.656417,-2.93039,-0.151668,0.0090523,-0.00110194,-0.000117716
239,4.97329e+17,-1.60178,-1.62347,0.099533,0.00970956,-0.00636996,0.0010113
240,5.1217e+18,2.24005,-0.136183,-0.236348,0.00122321,0.0122801,0.00111913
241,3.73966e+18,2.47933,1.38117,-0.170514,-0.00639769,0.00813862,-0.00130757
242,1.51217e+18,-2.12953,-1.36427,0.124382,0.00740467,-0.00779117,-0.00219542
243,1.61704e+18,-0.206676,-2.18536,-0.739111,0.011368,-0.00303923,0.00248124
244,3.04418e+17,-1.6592,1.96277,-0.234166,-0.00772528,-0.00651487,0.000204755
245,2.46958e+17,1.9921,1.61494,0.0551953,-0.00692865,0.00849872,0.000381936
246,3.44383e+17,-2.44134,2.36194,0.200691,-0.00650037,-0.00476054,-0.000426407
247,2.22217e+18,-3.25515,-0.842947,-0.0184897,0.000800293,-0.00941271,0.000332489
248,3.28292e+17,-2.82556,-0.0930111,-0.00314208,-0.000754913,-0.00995051,-0.000420684
249,1.26742e+18,1.61981,-2.6562,-0.253357,0.00745,0.00421294,0.00108986
250,7.12526e+17,-0.409409,-2.72967,0.186172,0.00950636,-0.00011593,0.000348311
251,8.978e+17,-2.0083,-1.62928,0.0100504,0.0074275,-0.00648189,0.00148205
252,1.17898e+18,-1.48315,2.12447,0.28984,-0.010289,-0.00451897,-0.000599625
253,2.71463e+17,1.83277,1.91899,0.0449907,-0.00914648,0.00576479,0.000449723
254,9.74989e+17,0.914596,2.40433,0.144942,-0.00999214,0.00317332,0.000644873
255,3.58422e+17,-2.82206,0.83337,-0.136728,-0.00225376,-0.00840508,-0.0013585
256,9.59875e+17,0.949918,-2.96749,-0.100749,0.00820102,0.00492361,-0.000658626
257,1.17085e+19,-3.62451,-0.70812,0.620256,0.00196811,-0.00830601,-0.000842291
258,9.02281e+18,-1.63827,2.79375,-0.119459,-0.00777215,-0.00411527,-0.000742629
259,4.36923e+18,0.961127,2.02149,0.591886,-0.00957061,0.00706678,-0.000728618
260,1.12709e+18,2.61747,1.02834,-0.0808612,-0.00233964,0.0105084,0.000225068
261,7.98849e+17,-1.90254,1.55438,0.0675079,-0.00788704,-0.00824038,-0.000245413
262,5.62805e+18,1.47305,2.73364,-0.347818,-0.00791912,0.00580731,0.00116732
263,2.64698e+18,-2.49475,1.69788,0.273829,-0.00445567,-0.00829841,-0.00120621
264,6.21498e+18,-0.131311,-3.37085,-0.474813,0.00884064,0.000119261,-3.52676e-05
